index,symbol,name,price,changesPercentage,change,dayLow,dayHigh,yearHigh,yearLow,marketCap,priceAvg50,priceAvg200,volume,avgVolume,exchange,open,previousClose,eps,pe,earningsAnnouncement,sharesOutstanding,timestamp
BRTHY,BRTHY,"Brother Industries, Ltd.",34.83,-4.155196,-1.5099983,34.83,34.83,47.91,34.83,4600868864.0,41.4178,42.48885,201.0,219.0,PNK,34.83,36.34,2.48,14.044355,,132095000.0,1638176236
BTHE,BTHE,"Boston Therapeutics, Inc.",0.01,0.0,0.0,0.0091,0.0119,0.067,0.0055,9169150.0,0.0147066,0.0210865,105242.0,169801.0,MUTUAL_FUND,0.00915,0.01,-0.058,,2021-10-04T10:59:00.000+0000,916915000.0,1638176236
BVN,BVN,Compañía de Minas Buenaventura S.A.A.,6.94,0.8720921,0.05999994,6.52,6.985,13.28,6.11,1762669824.0,7.543,9.0905,1443572.0,1381963.0,NYSE,6.92,6.88,-0.418,,,253987006.0,1638176236
BVS,BVS,Bioventus Inc.,12.51,-2.570093,-0.32999992,11.89,12.67,19.941,10.74,743570624.0,14.6706,15.27495,279333.0,274568.0,NASDAQ,12.46,12.84,-0.475,,2021-11-09T07:00:03.000+0000,59438099.0,1638176236
BWMCU,BWMCU,,22.75,-1.94,-0.45,22.65,23.4,25.0,9.38,341582144.0,23.1875,19.903944,8620.0,17488.0,,23.25,23.2,0.488,46.61885,2021-08-25T05:00:00.000+0000,15014600.0,1638176236
CADE,CADE,Cadence Bancorporation,29.98,-4.552691,-1.4300003,29.58,30.25,35.59,24.87,5772529152.0,30.37,29.91695,1032069.0,1777793.0,NYSE,30.23,31.41,2.761,10.858385,2022-01-24T10:59:00.000+0000,192546002.0,1638176236
CALX,CALX,"Calix, Inc.",68.04,-2.437621,-1.699997,66.5614,68.69,76.6,22.25,4337971712.0,60.8826,47.99095,344833.0,541671.0,NYSE,67.45,69.74,3.6,18.900002,2022-01-25T17:00:00.000+0000,63756198.0,1638176236
CAPMAN.HE,CAPMAN.HE,CapMan Oyj,2.845,0.88652825,0.0250001,2.815,2.88,3.27,2.105,445501408.0,2.8312,2.826025,63439.0,123913.0,HEL,2.82,2.82,0.199,14.296482,2022-02-03T01:30:00.000+0000,156591005.0,1638176236
CAS,CAS,Cascade Acquisition Corp.,9.98,0.0,0.0,9.98,9.98,10.45,9.72,286924992.0,9.95924,9.938575,308.0,29423.0,NYSE,9.98,9.98,,,,28749999.0,1638176236
CC,CC,The Chemours Company,30.85,-5.1353016,-1.6700001,30.3,31.64,38.87,23.3,5027346432.0,30.2888,31.25725,974377.0,1480009.0,NYSE,31.15,32.52,2.327,13.257414,2022-02-09T10:59:00.000+0000,162960986.0,1638176236
CCCL,CCCL,,18.44,0.82,0.15,,,18.49,10.36,,18.44,17.034233,,0.0,,,18.29,,,,,1638176236
CCOI,CCOI,"Cogent Communications Holdings, Inc.",76.25,-2.853864,-2.2399979,75.24,78.4,80.5,56.38,3635127296.0,74.6932,72.5109,213767.0,181414.0,NASDAQ,77.53,78.49,0.481,158.52391,2022-02-23T07:00:00.000+0000,47673801.0,1638176236
CDOR,CDOR,"Condor Hospitality Trust, Inc.",7.3,0.0,0.0,7.213,7.3,7.5,3.0,107474256.0,7.03,5.45205,21562.0,43526.0,AMEX,7.26,7.3,-1.888,,2021-11-02T16:46:00.000+0000,14722501.0,1638176236
CDTI,CDTI,"CDTi Advanced Materials, Inc.",0.395,0.0,0.0,0.395,0.395,0.9,0.27,1607859.0,0.3422,0.5202,12.0,2071.0,NASDAQ,0.34,0.395,-0.251,,2021-04-22T10:59:00.000+0000,4070529.0,1638176236
CEA,CEA,China Eastern Airlines Corporation Limited,18.01,-3.6383107,-0.6800003,18.01,18.44,26.19,17.37,12127141888.0,19.3232,20.9868,11907.0,8325.0,NYSE,18.32,18.69,-5.15,,,673356018.0,1638176236
CELG,CELG,,30.17,-0.03,-0.01,30.09,30.4,31.0,24.0,,29.681944,28.30831,11744.0,30948.0,,30.37,30.18,,,,,1638176236
CGEM,CGEM,"Cullinan Oncology, Inc.",18.22,-4.8563986,-0.9300003,17.76,19.04,59.85,17.64,795931584.0,22.3516,29.9291,57467.0,254301.0,NASDAQ,18.71,19.15,-2.249,,2021-11-09T06:45:00.000+0000,43684500.0,1638176236
CGTX,CGTX,"Cognition Therapeutics, Inc.",8.92,0.3374548,0.02999973,8.26,9.35,13.8,8.26,196564688.0,11.664,11.664,18072.0,165528.0,NASDAQ,8.62,8.89,-20.295,,,22036400.0,1638176236
CHI,CHI,Calamos Convertible Opportunities and Income Fund,15.34,-1.5088261,-0.23499966,15.2,15.4,16.44,12.65,1091523840.0,15.694,15.12875,141962.0,138288.0,NASDAQ,15.4,15.575,6.471,2.3705764,,71155400.0,1638176236
